id,sensorid,time,topic,value,location,coordinates
1,QMUL-WS-02,2022/7/28 15:38,/QMUL/CSEE/B312/NO2,0.15,GO,"51o31.41'N,00o02.50'W"
2,QMUL-WS-02,2022/7/28 15:38,/QMUL/CSEE/B312/CO,25.54,GO,"51o31.41'N,00o02.50'W"
3,QMUL-WS-02,2022/7/28 15:38,/QMUL/CSEE/B312/NH3,0.73,GO,"51o31.41'N,00o02.50'W"
4,QMUL-WS-02,2022/7/28 15:38,/QMUL/CSEE/B312/C4H5OH,16.5,GO,"51o31.41'N,00o02.50'W"
5,QMUL-WS-02,2022/7/28 15:38,/QMUL/CSEE/B312/H2,10.76,GO,"51o31.41'N,00o02.50'W"
6,QMUL-WS-02,2022/7/28 15:38,/QMUL/CSEE/B312/CH4,428512.09,GO,"51o31.41'N,00o02.50'W"
7,QMUL-WS-02,2022/7/28 15:38,/QMUL/CSEE/B312/C3H8,635.6,GO,"51o31.41'N,00o02.50'W"
8,QMUL-WS-02,2022/7/28 15:38,/QMUL/CSEE/B312/C4H10,436.58,GO,"51o31.41'N,00o02.50'W"
9,QMUL-WS-02,2022/7/28 15:39,/QMUL/CSEE/B312/CO,8.83,GO,"51o31.41'N,00o02.50'W"
10,QMUL-WS-02,2022/7/28 15:39,/QMUL/CSEE/B312/NH3,0.62,GO,"51o31.41'N,00o02.50'W"
11,QMUL-WS-02,2022/7/28 15:39,/QMUL/CSEE/B312/NO2,0.18,GO,"51o31.41'N,00o02.50'W"
12,QMUL-WS-02,2022/7/28 15:39,/QMUL/CSEE/B312/C3H8,500.19,GO,"51o31.41'N,00o02.50'W"
13,QMUL-WS-02,2022/7/28 15:39,/QMUL/CSEE/B312/C4H10,356.22,GO,"51o31.41'N,00o02.50'W"
14,QMUL-WS-02,2022/7/28 15:39,/QMUL/CSEE/B312/CH4,8429.54,GO,"51o31.41'N,00o02.50'W"
15,QMUL-WS-02,2022/7/28 15:39,/QMUL/CSEE/B312/C4H5OH,4.08,GO,"51o31.41'N,00o02.50'W"
16,QMUL-WS-02,2022/7/28 15:39,/QMUL/CSEE/B312/H2,2.13,GO,"51o31.41'N,00o02.50'W"
17,QMUL-WS-02,2022/7/28 15:40,/QMUL/CSEE/B312/NH3,0.5,GO,"51o31.41'N,00o02.50'W"
